Школа № 1542;119620, улица Авиаторов, д. 8, корп.2
Гимназия № 1543 им. Ю. В. Завельского;119571, ул. 26-ти Бакинских Комиссаров, д. 3, к. 5
Школа № 1544;125222, Пенягинская улица, д. 14
Школа № 1547;Белореченская ул.
Школа № 1550;125284, Беговая ул., 19
Школа № 1551;125364, ул. Свободы, д. 42, корп. 2
Школа № 1552;ул. Мусы Джалиля, д. 25
Школа № 1553 имени В. И. Вернадского;Дербеневская ул., 13
Школа № 1554 (ГБОУ);127490, ул. Пестеля, д. 5
Школа № 1557 им. Петра Леонидовича Капицы;124536, Зеленоград, к. 509
Школа № 1558 им. Росалии де Кастро;Москва, СВАО, 129327, Чукотский пр., д. 6
Школа № 1560 «Лидер»;123423, ул. Маршала Тухачевского, д. 17, корп. 3
Школа № 1561;ул. Паустовского, д.6, корп. 2, район Ясенево
Марьинская школа № 1566 памяти Героев Сталинградской битвы;109652, ул. Люблинская, д. 173а
Школа № 1568 имени Пабло Неруды;127221, проезд Шокальского, д. 7, корп. 2
Школа № 1569 «Созвездие»;улица Мусы Джалиля, д. 36, к. 2
Школа № 1570;5-я ул. Ямского Поля, д. 28
Школа № 1573;ул. Псковская, д. 11
Школа № 1574;1-я Миусская ул., д. 4
Школа № 1576;127299, Большая Академическая ул., д. 22а
Школа № 1579;115522, Пролетарский просп., д. 7, корп. 3
Школа № 1580 при МГТУ имени Н. Э. Баумана;Балаклавский проспект, д. 6А
Инженерная школа № 1581;107120, Большой Полуярославский переулок, д. 7/4
Школа № 1582;Кировоградская улица, д. 18, к. 4
Школа № 1583 имени К. А. Керимова;125493, ул. Смольная, д. 25
Школа № 1584;121615, Рублёвское шоссе, д. 24, к. 3
Школа № 1586;119330, Дружбы, д. 8
Школа № 1589;121357, Инициативная улица, дом 1.
Школа № 1590 имени Героя Советского Союза В. В. Колесника;125502, ул. Фестивальная, д. 69
Школа № 1591;111672, ул. Новокосинская, д. 40а
Школа имени Героя Российской Федерации Е. Н. Чернышёва;127247, Бескудниковский проезд, д. 4б
Школа в Некрасовке— 111674, 2-я Вольская, д. 7, к.2
Школа № 1601 (ГБОУ);103220, ул. Нижняя Масловка, д. 16.Школа имени Левочкина Фёдора
Школа № 1619 им. М. Цветаевой (УВК);123458, ул. Таллинская, д. 20, к. 4
Школа № 1621;образовательный комплекс «Школа лидерства Лаудер Эц Хаим» с еврейским этнокультурным компонентом;М. Козловский пер., д. 3
Школа «Дмитровский» (УВК);127411, Дмитровское ш., д. 137а
Школа № 1633 (УВК);117049, Люсиновский 1-й пер., д. 5
Школа № 1634 начальная;107014, ул. Короленко, д. 2а
Школа № 1634 старшие классы;107014, ул. Ширяевская Б., д. 15
Школа № 1636;115583, Воронежская улица, д. 7, к. 2
Школа № 1637 (ГБОУ);111401, ул. 3-я Владимирская, д. 12а
Школа № 1678 (УВК);127591, ул. Дубнинская, д. 46, к. 2
Школа № 1679 «Школа Здоровья» (ГОУ, ЦО);125239, ул. Новопетровская, д. 1а
Школа № 1694 «Ясенево» им. П. М. Фитина (УВК);117593, Ясенево, Литовский бульв., д. 11, к. 6
Школа № 1741;119602, ул. Никулинская, д. 5
Школа № 1747;123627, Митинский 3-й пер., д. 12
Школа № 1748 «Вертикаль» (ГБОУ);Сиреневый бульвар, д. 73 к. 3
Школа № 1798 «Феникс» (ГБОУ);Зелёный проспект, дом 75
Школа № 1799;115035, Кадашёвский 1-й пер., д. 3, строение 1
Школа № 1811 «Восточное Измайлово»;ул. Первомайская, д. 111
Школа № 1852;ул. 2-я Владимирская, д. 22а
Школа № 1861 «Загорье»;ул. Михневская, д. 8, корп. 2
Школа № 1862;Черноморский бульвар, д. 6, стр. 1
Школа № 1874;ул. Маршала Новикова, д. 13
Школа № 1883 «Бутово»;ул. Поляны, д. 53
Школа № 1905;109153, ул. Маршала Полубоярова, 22
Школа № 1912 (им. Бауыржана Момышулы);124683, Зеленоград, к. 1816
Школа № 1935;Москва, ул. Авиаконструктора Миля, д. 18, к. 2
Школа № 1950;123056, ул Зоологическая, д. 28, стр.1
Школа № 2000;115522 Москва, Кантемировская улица, дом 22, корпус 6
Школа № 2001;117546, Харьковский пр., д. 9 А,Б
Школа № 2006;117216, ул. Грина д. 18, корп. 3, с. 1
Школа № 2007 ФМШ;117042, ул. Горчакова д. 9, корп. 1
Школа № 2009;ул. Адмирала Руднева, д. 16, к. 1, Бутово, ЮЗАО, Москва (ГОУ СОШ)
Школа № 2025 (ГБОУ);119361, Очаково-Матвеевское
Школа № 2026 (ГБОУ)-ул. Медведева д.6
Школа № 2030 (ГБОУ);123100, ул. 2-я Звенигородская, д.8
Школа № 2031 (ГБОУ);111674, ул. Дмитриевского, д. 13
Школа № 2033 (ГБОУ);Щёлковское шоссе, д. 26а
Школа № 2045;124365, Зеленоград, к. 2031
Школа № 2048 (ГБОУ);ул. Липчанского, д. 6а
Школа № 2051 (ГБОУ);пр-т Защитников Москвы, д. 9 к.2
Школа № 2055 (бывш. 83 и 340);123100, Москва, 2-я Черногрязская улица, 7, стр.1, 123317, Москва, ул. Подвойского, д. 2
Школа № 2070;108814, посёлок Коммунарка, Фитарёвская улица, дом 9А
Школа № 2072 (ГБОУ);111394, ул. Утренняя, д. 12
Школа № 2086 (ГБОУ);пр-т Университетский, д. 5
Школа № 2087 «Открытие» (ГБОУ) образовалась в результате слияния ГБОУ ЦО № 1881 (бывш. СОШ № 1042) и ГБОУ СОШ № 1142;ул. Перерва, д.44, Марьино, ЮВАО, Москва, 109369 и ул. Перерва, д. 36, Марьино, ЮВАО, Москва, 109369
Школа № 2101 «Филёвский образовательный центр» (ГБОУ);121433, ул. Малая Филёвская, д. 26, корп. 2
Школа № 2109 (ГБОУ);117148, ул. Маршала Савицкого, д. 6, к. 4
Школа № 2116 (ГБОУ);115682, Задонский проезд, дом 34, корпус 3
Школа № 2122 (ГБОУ);142172, ул. Авиаторов, д. 9
Школа № 2123 имени Мигеля Эрнандеса (ГБОУ);пер. Столовый, д. 10/2, стр. 1
Школа № 2127 (ГБОУ);111672, ул. Салтыковская, д. 13б
Школа № 2200 (ГБОУ);105215, ул. 11-я Парковая, д. 50
Школа юных математиков;Малый мехмат
Медико-биологическая школа «Vita»;121614, ул. Крылатские холмы, д. 28, к. 2
Академическая школа «Гелан» (НОУ)
Школа «Академия Будущего»
Американская школа «Юджин Центр»
Англо-американская школа (для англоязычных детей)
Англо-русская школа
Армянская Воскресная школа;Армянский пер., д. 13
Британская Международная школа
Геологическая школа МГУ
Спортивная школа;117246, ул. Херсонская, д. 30, к. 2
Детская академия искусств;121309, ул. Новозаводская, д. 27
Детская академия «Останкино»;111033, ул. Волочаевская, д. 38, стр. 1
Еврейская школа «Бет Егудит»;125299, ул. Клары Цеткин, д. 15-б
Еврейская школа «Мигдал-Ор»;Мичуринский пр-т, д. 62, 117607
Классический пансион МГУ им. М. В. Ломоносова;ул. Инициативная, 1
Лингвистическая школа при Институте иностранных языков;107140, ул. В.Красносельская, д. 14, стр. 3
Международная общеобразовательная частная школа «Интеграция XXl век»;123592, Строгинский б-р, д. 7 к. 3
Международная школа «Дом Филиппа»;ул. Академика Анохина, д. 28, к. 2 (старый адрес)
Международный центр обучения;ул. Ярцевская, д. 6а
Московская экономическая школа (МЭШ);123022, ул. Заморёнова, д. 29
Музыкальный православный центр «Воскресение»;107065, ул. Камчатская, д. 6
Начальная и средняя школа «Луч и Ко»;ул. Вучетича, 7а
